day,time,bias,tier,score
2026-04-13,08:00,BEARISH,MEDIUM,5
2026-04-13,08:15,BEARISH,MEDIUM,5
2026-04-13,09:30,BULLISH,MEDIUM,4
2026-04-13,10:00,BULLISH,LOW,3
2026-04-14,08:00,NEUTRAL,NEUTRAL,3
2026-04-14,08:30,NEUTRAL,NEUTRAL,3
2026-04-14,09:30,BULLISH,MEDIUM,5
2026-04-14,09:45,BULLISH,MEDIUM,5
2026-04-15,08:00,NEUTRAL,NEUTRAL,5
2026-04-15,09:30,NEUTRAL,NEUTRAL,5
2026-04-15,10:00,BULLISH,MEDIUM,5
2026-04-21,08:00,NEUTRAL,NEUTRAL,3
2026-04-21,09:30,NEUTRAL,NEUTRAL,4
2026-04-21,09:45,NEUTRAL,NEUTRAL,4
2026-04-21,10:15,NEUTRAL,NEUTRAL,5
2026-04-23,08:00,NEUTRAL,NEUTRAL,5
2026-04-23,08:15,NEUTRAL,NEUTRAL,5
2026-04-23,09:30,NEUTRAL,NEUTRAL,5
2026-04-23,09:45,NEUTRAL,NEUTRAL,5
2026-04-27,08:00,NEUTRAL,NEUTRAL,5
2026-04-27,09:30,NEUTRAL,NEUTRAL,5
2026-04-29,08:00,BULLISH,MEDIUM,5
2026-04-29,09:30,BULLISH,MEDIUM,4
2026-04-29,09:45,BULLISH,MEDIUM,4
2026-04-30,08:00,NEUTRAL,NEUTRAL,4
2026-04-30,08:15,NEUTRAL,NEUTRAL,4
2026-04-30,08:30,NEUTRAL,NEUTRAL,4
2026-04-30,09:30,BULLISH,MEDIUM,5
2026-04-30,09:45,BULLISH,MEDIUM,6
2026-05-01,08:00,BULLISH,MEDIUM,4
2026-05-01,08:15,BULLISH,MEDIUM,4
2026-05-01,08:45,BULLISH,MEDIUM,5
2026-05-01,09:30,BULLISH,MEDIUM,4
2026-05-01,09:45,BULLISH,MEDIUM,4
2026-05-04,08:00,NEUTRAL,NEUTRAL,4
2026-05-04,09:30,NEUTRAL,NEUTRAL,4
2026-05-05,08:00,NEUTRAL,NEUTRAL,3
2026-05-05,08:15,NEUTRAL,NEUTRAL,3
2026-05-05,09:30,NEUTRAL,NEUTRAL,2
2026-05-06,08:00,BULLISH,MEDIUM,5
2026-05-06,09:30,NEUTRAL,NEUTRAL,3
2026-05-06,09:45,NEUTRAL,NEUTRAL,3
2026-05-08,08:00,NEUTRAL,NEUTRAL,3
2026-05-08,08:45,BULLISH,MEDIUM,4
2026-05-08,09:30,BULLISH,MEDIUM,4
2026-05-08,09:45,BULLISH,MEDIUM,4
2026-05-11,08:00,BULLISH,MEDIUM,6
2026-05-11,09:30,NEUTRAL,NEUTRAL,5
2026-05-11,09:45,NEUTRAL,NEUTRAL,4
2026-05-14,08:00,NEUTRAL,NEUTRAL,4
2026-05-14,09:30,NEUTRAL,NEUTRAL,5
2026-05-14,09:45,NEUTRAL,NEUTRAL,4
2026-05-18,08:00,NEUTRAL,NEUTRAL,3
2026-05-18,08:45,NEUTRAL,NEUTRAL,4
2026-05-18,09:30,BULLISH,MEDIUM,5
2026-05-19,08:00,NEUTRAL,NEUTRAL,4
2026-05-19,08:15,NEUTRAL,NEUTRAL,4
2026-05-19,09:30,NEUTRAL,NEUTRAL,4
2026-05-19,10:15,NEUTRAL,NEUTRAL,4
2026-05-21,08:00,BEARISH,MEDIUM,5
2026-05-21,09:30,BEARISH,MEDIUM,5
2026-05-22,08:00,BEARISH,MEDIUM,6
2026-05-22,09:30,NEUTRAL,NEUTRAL,4
2026-05-22,09:45,NEUTRAL,NEUTRAL,3
2026-05-22,10:15,NEUTRAL,NEUTRAL,5
2026-05-26,08:00,NEUTRAL,NEUTRAL,4
2026-05-26,09:30,NEUTRAL,NEUTRAL,4
2026-05-26,10:00,NEUTRAL,NEUTRAL,3
2026-05-27,08:00,NEUTRAL,NEUTRAL,3
2026-05-27,08:30,NEUTRAL,NEUTRAL,3
2026-05-27,09:30,NEUTRAL,NEUTRAL,4
2026-05-27,09:45,NEUTRAL,NEUTRAL,3
2026-05-27,10:00,BEARISH,MEDIUM,5
2026-05-28,08:00,NEUTRAL,NEUTRAL,4
2026-05-28,08:45,BEARISH,MEDIUM,6
2026-05-28,09:30,BULLISH,LOW,3
2026-05-28,09:45,BULLISH,MEDIUM,4
2026-05-29,08:00,NEUTRAL,NEUTRAL,3
2026-05-29,08:45,NEUTRAL,NEUTRAL,3
2026-05-29,09:30,NEUTRAL,NEUTRAL,4
2026-05-29,09:45,NEUTRAL,NEUTRAL,4
2026-06-01,08:00,BULLISH,MEDIUM,6
2026-06-01,08:15,BULLISH,MEDIUM,5
2026-06-01,08:30,BULLISH,MEDIUM,5
2026-06-01,09:30,BULLISH,MEDIUM,5
2026-06-01,09:45,BULLISH,MEDIUM,5
2026-06-01,10:00,NEUTRAL,NEUTRAL,5
2026-06-02,08:00,NEUTRAL,NEUTRAL,5
2026-06-02,09:00,NEUTRAL,NEUTRAL,5
2026-06-02,09:30,NEUTRAL,NEUTRAL,5
2026-06-02,10:00,NEUTRAL,NEUTRAL,4
2026-06-08,08:00,BULLISH,MEDIUM,4
2026-06-08,08:30,BULLISH,MEDIUM,4
2026-06-08,09:30,BULLISH,MEDIUM,4
2026-06-09,08:00,BULLISH,MEDIUM,5
2026-06-09,08:45,BULLISH,LOW,3
2026-06-09,09:30,BULLISH,LOW,3
2026-06-09,10:00,NEUTRAL,NEUTRAL,2
2026-06-09,10:15,NEUTRAL,NEUTRAL,2
2026-06-12,08:00,NEUTRAL,NEUTRAL,4
2026-06-12,09:00,BEARISH,MEDIUM,5
2026-06-12,09:30,BEARISH,MEDIUM,6
2026-06-15,08:00,NEUTRAL,NEUTRAL,3
2026-06-15,09:30,NEUTRAL,NEUTRAL,3
2026-06-16,08:00,NEUTRAL,NEUTRAL,4
2026-06-16,09:30,BEARISH,MEDIUM,5
2026-06-16,09:45,BEARISH,MEDIUM,5
2026-06-17,08:00,BEARISH,MEDIUM,6
2026-06-17,08:45,BEARISH,MEDIUM,6
2026-06-17,09:30,NEUTRAL,NEUTRAL,3
2026-06-17,10:00,BEARISH,MEDIUM,5
2026-06-17,10:15,BEARISH,MEDIUM,6
2026-06-18,08:00,BULLISH,LOW,3
2026-06-18,08:15,BULLISH,LOW,3
2026-06-18,09:30,BULLISH,LOW,3
2026-06-22,08:00,BULLISH,MEDIUM,4
2026-06-22,08:15,BULLISH,LOW,3
2026-06-22,09:30,BULLISH,LOW,3
2026-06-23,08:00,BEARISH,LOW,3
2026-06-23,08:30,BEARISH,LOW,3
2026-06-23,09:30,BEARISH,LOW,3
2026-06-24,08:00,NEUTRAL,NEUTRAL,4
2026-06-24,09:00,NEUTRAL,NEUTRAL,4
2026-06-24,09:30,NEUTRAL,NEUTRAL,4
2026-06-24,09:45,NEUTRAL,NEUTRAL,5
2026-06-25,08:00,NEUTRAL,NEUTRAL,4
2026-06-25,08:15,NEUTRAL,NEUTRAL,4
2026-06-25,09:30,BULLISH,MEDIUM,5
2026-06-25,09:45,BULLISH,MEDIUM,4
2026-06-29,08:00,NEUTRAL,NEUTRAL,4
2026-06-29,09:30,NEUTRAL,NEUTRAL,5
2026-06-29,10:15,BEARISH,LOW,3
2026-07-03,08:00,NEUTRAL,NEUTRAL,3
2026-07-03,09:30,NEUTRAL,NEUTRAL,3
