datetime_ET,date,time_et,currency,event,impact
2023-07-06T10:00,2023-07-06,10:00,USD,ISM Services PMI,high
2023-07-07T08:30,2023-07-07,08:30,USD,Average Hourly Earnings m/m,high
2023-07-07T08:30,2023-07-07,08:30,USD,Non-Farm Employment Change,high
2023-07-07T08:30,2023-07-07,08:30,USD,Unemployment Rate,high
2023-07-12T08:30,2023-07-12,08:30,USD,Core CPI m/m,high
2023-07-12T08:30,2023-07-12,08:30,USD,CPI m/m,high
2023-07-12T08:30,2023-07-12,08:30,USD,CPI y/y,high
2023-07-18T08:30,2023-07-18,08:30,USD,Core Retail Sales m/m,high
2023-07-18T08:30,2023-07-18,08:30,USD,Retail Sales m/m,high
2023-07-26T14:00,2023-07-26,14:00,USD,Federal Funds Rate,high
2023-07-26T14:00,2023-07-26,14:00,USD,FOMC Statement,high
2023-07-26T14:30,2023-07-26,14:30,USD,FOMC Press Conference,high
2023-07-27T08:30,2023-07-27,08:30,USD,Advance GDP q/q,high
2023-07-28T08:30,2023-07-28,08:30,USD,Core PCE Price Index m/m,high
2023-08-01T10:00,2023-08-01,10:00,USD,ISM Manufacturing PMI,high
2023-08-03T10:00,2023-08-03,10:00,USD,ISM Services PMI,high
2023-08-04T08:30,2023-08-04,08:30,USD,Average Hourly Earnings m/m,high
2023-08-04T08:30,2023-08-04,08:30,USD,Non-Farm Employment Change,high
2023-08-04T08:30,2023-08-04,08:30,USD,Unemployment Rate,high
2023-08-10T08:30,2023-08-10,08:30,USD,Core CPI m/m,high
2023-08-10T08:30,2023-08-10,08:30,USD,CPI m/m,high
2023-08-10T08:30,2023-08-10,08:30,USD,CPI y/y,high
2023-08-15T08:30,2023-08-15,08:30,USD,Core Retail Sales m/m,high
2023-08-15T08:30,2023-08-15,08:30,USD,Retail Sales m/m,high
2023-08-16T14:00,2023-08-16,14:00,USD,FOMC Meeting Minutes,high
2023-08-31T08:30,2023-08-31,08:30,USD,Core PCE Price Index m/m,high
2023-09-01T08:30,2023-09-01,08:30,USD,Average Hourly Earnings m/m,high
2023-09-01T08:30,2023-09-01,08:30,USD,Non-Farm Employment Change,high
2023-09-01T08:30,2023-09-01,08:30,USD,Unemployment Rate,high
2023-09-01T10:00,2023-09-01,10:00,USD,ISM Manufacturing PMI,high
2023-09-06T10:00,2023-09-06,10:00,USD,ISM Services PMI,high
2023-09-13T08:30,2023-09-13,08:30,USD,Core CPI m/m,high
2023-09-13T08:30,2023-09-13,08:30,USD,CPI m/m,high
2023-09-13T08:30,2023-09-13,08:30,USD,CPI y/y,high
2023-09-14T08:30,2023-09-14,08:30,USD,Core Retail Sales m/m,high
2023-09-14T08:30,2023-09-14,08:30,USD,Retail Sales m/m,high
2023-09-20T14:00,2023-09-20,14:00,USD,Federal Funds Rate,high
2023-09-20T14:00,2023-09-20,14:00,USD,FOMC Economic Projections,high
2023-09-20T14:00,2023-09-20,14:00,USD,FOMC Statement,high
2023-09-20T14:30,2023-09-20,14:30,USD,FOMC Press Conference,high
2023-09-29T08:30,2023-09-29,08:30,USD,Core PCE Price Index m/m,high
2023-10-02T10:00,2023-10-02,10:00,USD,ISM Manufacturing PMI,high
2023-10-04T10:00,2023-10-04,10:00,USD,ISM Services PMI,high
2023-10-06T08:30,2023-10-06,08:30,USD,Average Hourly Earnings m/m,high
2023-10-06T08:30,2023-10-06,08:30,USD,Non-Farm Employment Change,high
2023-10-06T08:30,2023-10-06,08:30,USD,Unemployment Rate,high
2023-10-11T14:00,2023-10-11,14:00,USD,FOMC Meeting Minutes,high
2023-10-12T08:30,2023-10-12,08:30,USD,Core CPI m/m,high
2023-10-12T08:30,2023-10-12,08:30,USD,CPI m/m,high
2023-10-12T08:30,2023-10-12,08:30,USD,CPI y/y,high
2023-10-17T08:30,2023-10-17,08:30,USD,Core Retail Sales m/m,high
2023-10-17T08:30,2023-10-17,08:30,USD,Retail Sales m/m,high
2023-10-26T08:30,2023-10-26,08:30,USD,Advance GDP q/q,high
2023-10-27T08:30,2023-10-27,08:30,USD,Core PCE Price Index m/m,high
2023-11-01T10:00,2023-11-01,10:00,USD,ISM Manufacturing PMI,high
2023-11-01T14:00,2023-11-01,14:00,USD,Federal Funds Rate,high
2023-11-01T14:00,2023-11-01,14:00,USD,FOMC Statement,high
2023-11-01T14:30,2023-11-01,14:30,USD,FOMC Press Conference,high
2023-11-03T08:30,2023-11-03,08:30,USD,Average Hourly Earnings m/m,high
2023-11-03T08:30,2023-11-03,08:30,USD,Non-Farm Employment Change,high
2023-11-03T08:30,2023-11-03,08:30,USD,Unemployment Rate,high
2023-11-03T10:00,2023-11-03,10:00,USD,ISM Services PMI,high
2023-11-14T08:30,2023-11-14,08:30,USD,Core CPI m/m,high
2023-11-14T08:30,2023-11-14,08:30,USD,CPI m/m,high
2023-11-14T08:30,2023-11-14,08:30,USD,CPI y/y,high
2023-11-15T08:30,2023-11-15,08:30,USD,Core Retail Sales m/m,high
2023-11-15T08:30,2023-11-15,08:30,USD,Retail Sales m/m,high
2023-11-21T14:00,2023-11-21,14:00,USD,FOMC Meeting Minutes,high
2023-11-30T08:30,2023-11-30,08:30,USD,Core PCE Price Index m/m,high
2023-12-01T10:00,2023-12-01,10:00,USD,ISM Manufacturing PMI,high
2023-12-05T10:00,2023-12-05,10:00,USD,ISM Services PMI,high
2023-12-08T08:30,2023-12-08,08:30,USD,Average Hourly Earnings m/m,high
2023-12-08T08:30,2023-12-08,08:30,USD,Non-Farm Employment Change,high
2023-12-08T08:30,2023-12-08,08:30,USD,Unemployment Rate,high
2023-12-12T08:30,2023-12-12,08:30,USD,Core CPI m/m,high
2023-12-12T08:30,2023-12-12,08:30,USD,CPI m/m,high
2023-12-12T08:30,2023-12-12,08:30,USD,CPI y/y,high
2023-12-13T14:00,2023-12-13,14:00,USD,Federal Funds Rate,high
2023-12-13T14:00,2023-12-13,14:00,USD,FOMC Economic Projections,high
2023-12-13T14:00,2023-12-13,14:00,USD,FOMC Statement,high
2023-12-13T14:30,2023-12-13,14:30,USD,FOMC Press Conference,high
2023-12-14T08:30,2023-12-14,08:30,USD,Core Retail Sales m/m,high
2023-12-14T08:30,2023-12-14,08:30,USD,Retail Sales m/m,high
2023-12-22T08:30,2023-12-22,08:30,USD,Core PCE Price Index m/m,high
2024-01-03T10:00,2024-01-03,10:00,USD,ISM Manufacturing PMI,high
2024-01-03T14:00,2024-01-03,14:00,USD,FOMC Meeting Minutes,high
2024-01-05T08:30,2024-01-05,08:30,USD,Average Hourly Earnings m/m,high
2024-01-05T08:30,2024-01-05,08:30,USD,Non-Farm Employment Change,high
2024-01-05T08:30,2024-01-05,08:30,USD,Unemployment Rate,high
2024-01-05T10:00,2024-01-05,10:00,USD,ISM Services PMI,high
2024-01-11T08:30,2024-01-11,08:30,USD,Core CPI m/m,high
2024-01-11T08:30,2024-01-11,08:30,USD,CPI m/m,high
2024-01-11T08:30,2024-01-11,08:30,USD,CPI y/y,high
2024-01-17T08:30,2024-01-17,08:30,USD,Core Retail Sales m/m,high
2024-01-17T08:30,2024-01-17,08:30,USD,Retail Sales m/m,high
2024-01-25T08:30,2024-01-25,08:30,USD,Advance GDP q/q,high
2024-01-26T08:30,2024-01-26,08:30,USD,Core PCE Price Index m/m,high
2024-01-31T14:00,2024-01-31,14:00,USD,Federal Funds Rate,high
2024-01-31T14:00,2024-01-31,14:00,USD,FOMC Statement,high
2024-01-31T14:30,2024-01-31,14:30,USD,FOMC Press Conference,high
2024-02-01T10:00,2024-02-01,10:00,USD,ISM Manufacturing PMI,high
2024-02-02T08:30,2024-02-02,08:30,USD,Average Hourly Earnings m/m,high
2024-02-02T08:30,2024-02-02,08:30,USD,Non-Farm Employment Change,high
2024-02-02T08:30,2024-02-02,08:30,USD,Unemployment Rate,high
2024-02-05T10:00,2024-02-05,10:00,USD,ISM Services PMI,high
2024-02-13T08:30,2024-02-13,08:30,USD,Core CPI m/m,high
2024-02-13T08:30,2024-02-13,08:30,USD,CPI m/m,high
2024-02-13T08:30,2024-02-13,08:30,USD,CPI y/y,high
2024-02-15T08:30,2024-02-15,08:30,USD,Core Retail Sales m/m,high
2024-02-15T08:30,2024-02-15,08:30,USD,Retail Sales m/m,high
2024-02-21T14:00,2024-02-21,14:00,USD,FOMC Meeting Minutes,high
2024-02-29T08:30,2024-02-29,08:30,USD,Core PCE Price Index m/m,high
2024-03-01T10:00,2024-03-01,10:00,USD,ISM Manufacturing PMI,high
2024-03-05T10:00,2024-03-05,10:00,USD,ISM Services PMI,high
2024-03-06T10:00,2024-03-06,10:00,USD,Fed Chair Powell Testifies,high
2024-03-07T10:00,2024-03-07,10:00,USD,Fed Chair Powell Testifies,high
2024-03-08T08:30,2024-03-08,08:30,USD,Average Hourly Earnings m/m,high
2024-03-08T08:30,2024-03-08,08:30,USD,Non-Farm Employment Change,high
2024-03-08T08:30,2024-03-08,08:30,USD,Unemployment Rate,high
2024-03-12T08:30,2024-03-12,08:30,USD,Core CPI m/m,high
2024-03-12T08:30,2024-03-12,08:30,USD,CPI m/m,high
2024-03-12T08:30,2024-03-12,08:30,USD,CPI y/y,high
2024-03-14T08:30,2024-03-14,08:30,USD,Core Retail Sales m/m,high
2024-03-14T08:30,2024-03-14,08:30,USD,Retail Sales m/m,high
2024-03-20T14:00,2024-03-20,14:00,USD,Federal Funds Rate,high
2024-03-20T14:00,2024-03-20,14:00,USD,FOMC Economic Projections,high
2024-03-20T14:00,2024-03-20,14:00,USD,FOMC Statement,high
2024-03-20T14:30,2024-03-20,14:30,USD,FOMC Press Conference,high
2024-03-29T08:30,2024-03-29,08:30,USD,Core PCE Price Index m/m,high
2024-04-01T10:00,2024-04-01,10:00,USD,ISM Manufacturing PMI,high
2024-04-03T10:00,2024-04-03,10:00,USD,ISM Services PMI,high
2024-04-05T08:30,2024-04-05,08:30,USD,Average Hourly Earnings m/m,high
2024-04-05T08:30,2024-04-05,08:30,USD,Non-Farm Employment Change,high
2024-04-05T08:30,2024-04-05,08:30,USD,Unemployment Rate,high
2024-04-10T08:30,2024-04-10,08:30,USD,Core CPI m/m,high
2024-04-10T08:30,2024-04-10,08:30,USD,CPI m/m,high
2024-04-10T08:30,2024-04-10,08:30,USD,CPI y/y,high
2024-04-10T14:00,2024-04-10,14:00,USD,FOMC Meeting Minutes,high
2024-04-15T08:30,2024-04-15,08:30,USD,Core Retail Sales m/m,high
2024-04-15T08:30,2024-04-15,08:30,USD,Retail Sales m/m,high
2024-04-25T08:30,2024-04-25,08:30,USD,Advance GDP q/q,high
2024-04-26T08:30,2024-04-26,08:30,USD,Core PCE Price Index m/m,high
2024-05-01T10:00,2024-05-01,10:00,USD,ISM Manufacturing PMI,high
2024-05-01T14:00,2024-05-01,14:00,USD,Federal Funds Rate,high
2024-05-01T14:00,2024-05-01,14:00,USD,FOMC Statement,high
2024-05-01T14:30,2024-05-01,14:30,USD,FOMC Press Conference,high
2024-05-03T08:30,2024-05-03,08:30,USD,Average Hourly Earnings m/m,high
2024-05-03T08:30,2024-05-03,08:30,USD,Non-Farm Employment Change,high
2024-05-03T08:30,2024-05-03,08:30,USD,Unemployment Rate,high
2024-05-03T10:00,2024-05-03,10:00,USD,ISM Services PMI,high
2024-05-15T08:30,2024-05-15,08:30,USD,Core CPI m/m,high
2024-05-15T08:30,2024-05-15,08:30,USD,CPI m/m,high
2024-05-15T08:30,2024-05-15,08:30,USD,CPI y/y,high
2024-05-15T08:30,2024-05-15,08:30,USD,Core Retail Sales m/m,high
2024-05-15T08:30,2024-05-15,08:30,USD,Retail Sales m/m,high
2024-05-22T14:00,2024-05-22,14:00,USD,FOMC Meeting Minutes,high
2024-05-31T08:30,2024-05-31,08:30,USD,Core PCE Price Index m/m,high
2024-06-03T10:00,2024-06-03,10:00,USD,ISM Manufacturing PMI,high
2024-06-05T10:00,2024-06-05,10:00,USD,ISM Services PMI,high
2024-06-07T08:30,2024-06-07,08:30,USD,Average Hourly Earnings m/m,high
2024-06-07T08:30,2024-06-07,08:30,USD,Non-Farm Employment Change,high
2024-06-07T08:30,2024-06-07,08:30,USD,Unemployment Rate,high
2024-06-12T08:30,2024-06-12,08:30,USD,Core CPI m/m,high
2024-06-12T08:30,2024-06-12,08:30,USD,CPI m/m,high
2024-06-12T08:30,2024-06-12,08:30,USD,CPI y/y,high
2024-06-12T14:00,2024-06-12,14:00,USD,Federal Funds Rate,high
2024-06-12T14:00,2024-06-12,14:00,USD,FOMC Economic Projections,high
2024-06-12T14:00,2024-06-12,14:00,USD,FOMC Statement,high
2024-06-12T14:30,2024-06-12,14:30,USD,FOMC Press Conference,high
2024-06-18T08:30,2024-06-18,08:30,USD,Core Retail Sales m/m,high
2024-06-18T08:30,2024-06-18,08:30,USD,Retail Sales m/m,high
2024-06-28T08:30,2024-06-28,08:30,USD,Core PCE Price Index m/m,high
2024-07-01T10:00,2024-07-01,10:00,USD,ISM Manufacturing PMI,high
2024-07-03T10:00,2024-07-03,10:00,USD,ISM Services PMI,high
2024-07-03T14:00,2024-07-03,14:00,USD,FOMC Meeting Minutes,high
2024-07-05T08:30,2024-07-05,08:30,USD,Average Hourly Earnings m/m,high
2024-07-05T08:30,2024-07-05,08:30,USD,Non-Farm Employment Change,high
2024-07-05T08:30,2024-07-05,08:30,USD,Unemployment Rate,high
2024-07-09T10:00,2024-07-09,10:00,USD,Fed Chair Powell Testifies,high
2024-07-10T10:00,2024-07-10,10:00,USD,Fed Chair Powell Testifies,high
2024-07-11T08:30,2024-07-11,08:30,USD,Core CPI m/m,high
2024-07-11T08:30,2024-07-11,08:30,USD,CPI m/m,high
2024-07-11T08:30,2024-07-11,08:30,USD,CPI y/y,high
2024-07-16T08:30,2024-07-16,08:30,USD,Core Retail Sales m/m,high
2024-07-16T08:30,2024-07-16,08:30,USD,Retail Sales m/m,high
2024-07-25T08:30,2024-07-25,08:30,USD,Advance GDP q/q,high
2024-07-26T08:30,2024-07-26,08:30,USD,Core PCE Price Index m/m,high
2024-07-31T14:00,2024-07-31,14:00,USD,Federal Funds Rate,high
2024-07-31T14:00,2024-07-31,14:00,USD,FOMC Statement,high
2024-07-31T14:30,2024-07-31,14:30,USD,FOMC Press Conference,high
2024-08-01T10:00,2024-08-01,10:00,USD,ISM Manufacturing PMI,high
2024-08-02T08:30,2024-08-02,08:30,USD,Average Hourly Earnings m/m,high
2024-08-02T08:30,2024-08-02,08:30,USD,Non-Farm Employment Change,high
2024-08-02T08:30,2024-08-02,08:30,USD,Unemployment Rate,high
2024-08-05T10:00,2024-08-05,10:00,USD,ISM Services PMI,high
2024-08-14T08:30,2024-08-14,08:30,USD,Core CPI m/m,high
2024-08-14T08:30,2024-08-14,08:30,USD,CPI m/m,high
2024-08-14T08:30,2024-08-14,08:30,USD,CPI y/y,high
2024-08-15T08:30,2024-08-15,08:30,USD,Core Retail Sales m/m,high
2024-08-15T08:30,2024-08-15,08:30,USD,Retail Sales m/m,high
2024-08-21T14:00,2024-08-21,14:00,USD,FOMC Meeting Minutes,high
2024-08-30T08:30,2024-08-30,08:30,USD,Core PCE Price Index m/m,high
2024-09-03T10:00,2024-09-03,10:00,USD,ISM Manufacturing PMI,high
2024-09-05T10:00,2024-09-05,10:00,USD,ISM Services PMI,high
2024-09-06T08:30,2024-09-06,08:30,USD,Average Hourly Earnings m/m,high
2024-09-06T08:30,2024-09-06,08:30,USD,Non-Farm Employment Change,high
2024-09-06T08:30,2024-09-06,08:30,USD,Unemployment Rate,high
2024-09-11T08:30,2024-09-11,08:30,USD,Core CPI m/m,high
2024-09-11T08:30,2024-09-11,08:30,USD,CPI m/m,high
2024-09-11T08:30,2024-09-11,08:30,USD,CPI y/y,high
2024-09-17T08:30,2024-09-17,08:30,USD,Core Retail Sales m/m,high
2024-09-17T08:30,2024-09-17,08:30,USD,Retail Sales m/m,high
2024-09-18T14:00,2024-09-18,14:00,USD,Federal Funds Rate,high
2024-09-18T14:00,2024-09-18,14:00,USD,FOMC Economic Projections,high
2024-09-18T14:00,2024-09-18,14:00,USD,FOMC Statement,high
2024-09-18T14:30,2024-09-18,14:30,USD,FOMC Press Conference,high
2024-09-27T08:30,2024-09-27,08:30,USD,Core PCE Price Index m/m,high
2024-10-01T10:00,2024-10-01,10:00,USD,ISM Manufacturing PMI,high
2024-10-03T10:00,2024-10-03,10:00,USD,ISM Services PMI,high
2024-10-04T08:30,2024-10-04,08:30,USD,Average Hourly Earnings m/m,high
2024-10-04T08:30,2024-10-04,08:30,USD,Non-Farm Employment Change,high
2024-10-04T08:30,2024-10-04,08:30,USD,Unemployment Rate,high
2024-10-09T14:00,2024-10-09,14:00,USD,FOMC Meeting Minutes,high
2024-10-10T08:30,2024-10-10,08:30,USD,Core CPI m/m,high
2024-10-10T08:30,2024-10-10,08:30,USD,CPI m/m,high
2024-10-10T08:30,2024-10-10,08:30,USD,CPI y/y,high
2024-10-17T08:30,2024-10-17,08:30,USD,Core Retail Sales m/m,high
2024-10-17T08:30,2024-10-17,08:30,USD,Retail Sales m/m,high
2024-10-30T08:30,2024-10-30,08:30,USD,Advance GDP q/q,high
2024-10-31T08:30,2024-10-31,08:30,USD,Core PCE Price Index m/m,high
2024-11-01T08:30,2024-11-01,08:30,USD,Average Hourly Earnings m/m,high
2024-11-01T08:30,2024-11-01,08:30,USD,Non-Farm Employment Change,high
2024-11-01T08:30,2024-11-01,08:30,USD,Unemployment Rate,high
2024-11-01T10:00,2024-11-01,10:00,USD,ISM Manufacturing PMI,high
2024-11-05T10:00,2024-11-05,10:00,USD,ISM Services PMI,high
2024-11-07T14:00,2024-11-07,14:00,USD,Federal Funds Rate,high
2024-11-07T14:00,2024-11-07,14:00,USD,FOMC Statement,high
2024-11-07T14:30,2024-11-07,14:30,USD,FOMC Press Conference,high
2024-11-13T08:30,2024-11-13,08:30,USD,Core CPI m/m,high
2024-11-13T08:30,2024-11-13,08:30,USD,CPI m/m,high
2024-11-13T08:30,2024-11-13,08:30,USD,CPI y/y,high
2024-11-15T08:30,2024-11-15,08:30,USD,Core Retail Sales m/m,high
2024-11-15T08:30,2024-11-15,08:30,USD,Retail Sales m/m,high
2024-11-26T14:00,2024-11-26,14:00,USD,FOMC Meeting Minutes,high
2024-11-27T10:00,2024-11-27,10:00,USD,Core PCE Price Index m/m,high
2024-12-02T10:00,2024-12-02,10:00,USD,ISM Manufacturing PMI,high
2024-12-04T10:00,2024-12-04,10:00,USD,ISM Services PMI,high
2024-12-06T08:30,2024-12-06,08:30,USD,Average Hourly Earnings m/m,high
2024-12-06T08:30,2024-12-06,08:30,USD,Non-Farm Employment Change,high
2024-12-06T08:30,2024-12-06,08:30,USD,Unemployment Rate,high
2024-12-11T08:30,2024-12-11,08:30,USD,Core CPI m/m,high
2024-12-11T08:30,2024-12-11,08:30,USD,CPI m/m,high
2024-12-11T08:30,2024-12-11,08:30,USD,CPI y/y,high
2024-12-17T08:30,2024-12-17,08:30,USD,Core Retail Sales m/m,high
2024-12-17T08:30,2024-12-17,08:30,USD,Retail Sales m/m,high
2024-12-18T14:00,2024-12-18,14:00,USD,Federal Funds Rate,high
2024-12-18T14:00,2024-12-18,14:00,USD,FOMC Economic Projections,high
2024-12-18T14:00,2024-12-18,14:00,USD,FOMC Statement,high
2024-12-18T14:30,2024-12-18,14:30,USD,FOMC Press Conference,high
2024-12-20T08:30,2024-12-20,08:30,USD,Core PCE Price Index m/m,high
2025-01-03T10:00,2025-01-03,10:00,USD,ISM Manufacturing PMI,high
2025-01-07T10:00,2025-01-07,10:00,USD,ISM Services PMI,high
2025-01-08T14:00,2025-01-08,14:00,USD,FOMC Meeting Minutes,high
2025-01-10T08:30,2025-01-10,08:30,USD,Average Hourly Earnings m/m,high
2025-01-10T08:30,2025-01-10,08:30,USD,Non-Farm Employment Change,high
2025-01-10T08:30,2025-01-10,08:30,USD,Unemployment Rate,high
2025-01-15T08:30,2025-01-15,08:30,USD,Core CPI m/m,high
2025-01-15T08:30,2025-01-15,08:30,USD,CPI m/m,high
2025-01-15T08:30,2025-01-15,08:30,USD,CPI y/y,high
2025-01-16T08:30,2025-01-16,08:30,USD,Core Retail Sales m/m,high
2025-01-16T08:30,2025-01-16,08:30,USD,Retail Sales m/m,high
2025-01-29T14:00,2025-01-29,14:00,USD,Federal Funds Rate,high
2025-01-29T14:00,2025-01-29,14:00,USD,FOMC Statement,high
2025-01-29T14:30,2025-01-29,14:30,USD,FOMC Press Conference,high
2025-01-30T08:30,2025-01-30,08:30,USD,Advance GDP q/q,high
2025-01-31T08:30,2025-01-31,08:30,USD,Core PCE Price Index m/m,high
2025-02-03T10:00,2025-02-03,10:00,USD,ISM Manufacturing PMI,high
2025-02-05T10:00,2025-02-05,10:00,USD,ISM Services PMI,high
2025-02-07T08:30,2025-02-07,08:30,USD,Average Hourly Earnings m/m,high
2025-02-07T08:30,2025-02-07,08:30,USD,Non-Farm Employment Change,high
